2014/09/26,27
2014/09/27,27
2014/09/28,25
2014/09/29,18
2014/09/30,22
2014/10/01,23
2014/10/02,24
2014/10/03,25
2014/10/04,23
2014/10/05,24
2014/10/06,23
2014/10/07,24
2014/10/08,46
2014/10/09,41
2014/10/10,43
2014/10/11,44
2014/10/12,45
2014/10/13,42
2014/10/14,34
2014/10/15,34
2014/10/16,33
2014/10/17,30
2014/10/18,30
2014/10/19,30
2014/10/20,34
2014/10/21,25
2014/10/22,26
2014/10/23,24
2014/10/24,29
2014/10/25,29
2014/10/26,29
2014/10/27,28
2014/10/28,28
2014/10/29,25
2014/10/30,25
2014/10/31,27
2014/11/01,28
2014/11/02,30
2014/11/03,38
2014/11/04,45
2014/11/05,51
2014/11/06,54
2014/11/07,42
2014/11/08,42
2014/11/09,43
2014/11/10,44
2014/11/11,49
2014/11/12,47
2014/11/13,49
2014/11/14,42
2014/11/15,42
2014/11/16,43
2014/11/17,49
2014/11/18,47
2014/11/19,44
2014/11/20,43
2014/11/21,39
2014/11/22,39
2014/11/23,40
2014/11/24,43
2014/11/25,36
2014/11/26,38
2014/11/27,37
2014/11/28,27
2014/11/29,28
2014/11/30,29
2014/12/01,43
2014/12/02,51
2014/12/03,49
2014/12/04,45
2014/12/05,37
2014/12/06,38
2014/12/07,38
2014/12/08,39
2014/12/09,39
2014/12/10,36
2014/12/11,42
2014/12/12,43
2014/12/13,42
2014/12/14,42
2014/12/15,43
2014/12/16,44
2014/12/17,45
2014/12/18,43
2014/12/19,44
2014/12/20,39
2014/12/21,37
2014/12/22,50
2014/12/23,47
2014/12/24,48
2014/12/25,40
2014/12/26,37
2014/12/27,36
2014/12/28,37
2014/12/29,49
2014/12/30,43
2014/12/31,41
2015/01/01,36
2015/01/02,32
2015/01/03,30
2015/01/04,47
2015/01/05,42
2015/01/06,49
2015/01/07,51
2015/01/08,46
2015/01/09,46
2015/01/10,45
2015/01/11,46
2015/01/12,55
2015/01/13,54
2015/01/14,47
2015/01/15,46
2015/01/16,45
2015/01/17,43
2015/01/18,44
2015/01/19,50
2015/01/20,52
2015/01/21,52
2015/01/22,52
2015/01/23,49
2015/01/24,48
2015/01/25,49
2015/01/26,48
2015/01/27,43
2015/01/28,36
2015/01/29,35
2015/01/30,37
2015/01/31,37
2015/02/01,39
2015/02/02,56
2015/02/03,73
2015/02/04,76
2015/02/05,77
2015/02/06,63
2015/02/07,65
2015/02/08,67
2015/02/09,57
2015/02/10,50
2015/02/11,46
2015/02/12,36
2015/02/13,37
2015/02/14,42
2015/02/15,36
2015/02/16,37
2015/02/17,31
2015/02/18,33
2015/02/19,41
2015/02/20,45
2015/02/21,32
2015/02/22,33
2015/02/23,34
2015/02/24,35
2015/02/25,63
2015/02/26,62
2015/02/27,31
2015/02/28,40
2015/03/01,42
2015/03/02,91
2015/03/03,97
2015/03/04,80
2015/03/05,74
2015/03/06,70
2015/03/07,73
2015/03/08,74
2015/03/09,73
2015/03/10,78
2015/03/11,83
2015/03/12,79
2015/03/13,67
2015/03/14,68
2015/03/15,70
2015/03/16,80
2015/03/17,78
2015/03/18,70
2015/03/19,82
2015/03/20,75
2015/03/21,76
2015/03/22,77
2015/03/23,77
2015/03/24,78
2015/03/25,77
2015/03/26,74
2015/03/27,63
2015/03/28,63
2015/03/29,63
2015/03/30,52
2015/03/31,50
2015/04/01,52
2015/04/02,67
2015/04/03,68
2015/04/04,70
2015/04/05,71
2015/04/06,72
2015/04/07,73
2015/04/08,76
2015/04/09,75
2015/04/10,80
2015/04/11,81
2015/04/12,82
2015/04/13,73
2015/04/14,78
2015/04/15,77
2015/04/16,77
2015/04/17,74
2015/04/18,76
2015/04/19,78
2015/04/20,82
2015/04/21,81
2015/04/22,68
2015/04/23,57
2015/04/24,69
2015/04/25,71
2015/04/26,73
2015/04/27,54
2015/04/28,51
2015/04/29,54
2015/04/30,59
2015/05/01,39
2015/05/02,40
2015/05/03,42
2015/05/04,83
2015/05/05,87
2015/05/06,91
2015/05/07,94
2015/05/08,89
2015/05/09,90
2015/05/10,93
2015/05/11,80
2015/05/12,80
2015/05/13,71
2015/05/14,73
2015/05/15,72
2015/05/16,74
2015/05/17,77
2015/05/18,72
2015/05/19,85
2015/05/20,64
2015/05/21,68
2015/05/22,78
2015/05/23,81
2015/05/24,83
2015/05/25,62
2015/05/26,63
2015/05/27,68
2015/05/28,57
2015/05/29,58
2015/05/30,61
2015/05/31,62
2015/06/01,81
2015/06/02,78
2015/06/03,86
2015/06/04,87
2015/06/05,83
2015/06/06,86
2015/06/07,88
2015/06/08,86
2015/06/09,77
2015/06/10,81
2015/06/11,84
2015/06/12,79
2015/06/13,82
2015/06/14,84
2015/06/15,91
2015/06/16,82
2015/06/17,83
2015/06/18,85
2015/06/19,83
2015/06/20,86
2015/06/21,89
2015/06/22,91
2015/06/23,70
2015/06/24,84
2015/06/25,78
2015/06/26,70
2015/06/27,73
2015/06/28,75
2015/06/29,65
2015/06/30,64
2015/07/01,74
2015/07/02,94
2015/07/03,95
2015/07/04,98
2015/07/05,100
2015/07/06,114
2015/07/07,98
2015/07/08,95
2015/07/09,93
2015/07/10,97
2015/07/11,101
2015/07/12,103
2015/07/13,88
2015/07/14,90
2015/07/15,100
2015/07/16,95
2015/07/17,93
2015/07/18,96
2015/07/19,99
2015/07/20,97
2015/07/21,96
2015/07/22,98
2015/07/23,97
2015/07/24,93
2015/07/25,95
2015/07/26,96
2015/07/27,99
2015/07/28,85
2015/07/29,81
2015/07/30,66
2015/07/31,67
2015/08/01,72
2015/08/02,74
2015/08/03,110
2015/08/04,131
2015/08/05,131
2015/08/06,131
2015/08/07,113
2015/08/08,116
2015/08/09,118
2015/08/10,110
2015/08/11,106
2015/08/12,106
2015/08/13,114
2015/08/14,111
2015/08/15,114
2015/08/16,116
2015/08/17,109
2015/08/18,99
2015/08/19,114
2015/08/20,117
2015/08/21,101
2015/08/22,105
2015/08/23,105
2015/08/24,120
2015/08/25,112
2015/08/26,111
2015/08/27,114
2015/08/28,92
2015/08/29,95
2015/08/30,97
2015/08/31,77
2015/09/01,127
2015/09/02,127
2015/09/03,130
2015/09/04,134
2015/09/05,136
2015/09/06,135
2015/09/07,137
2015/09/08,122
2015/09/09,128
2015/09/10,133
2015/09/11,130
2015/09/12,134
2015/09/13,137
2015/09/14,151
2015/09/15,148
2015/09/16,134
2015/09/17,136
2015/09/18,135
2015/09/19,140
2015/09/20,143
2015/09/21,122
2015/09/22,135
2015/09/23,127
2015/09/24,133
2015/09/25,132
2015/09/26,153
2015/09/27,140
2015/09/28,106
2015/09/29,101
